projeto_id,projeto_nome,projeto_setor,projeto_macrossetor,projeto_impacto,projeto_status,projeto_alcance-geografico,projeto_publico-alvo,proponente_id,proponente_nome,proponente_empresa,proponente_atuacao,proponente_cargo,avaliador_id,avaliador_nome,avaliador_empresa,avaliador_atuacao,avaliador_cargo,avaliacao
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,167,Geci Quintais,Siemens,Tecnologia Energética,Embaixador,5
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,384,Nautilia Carneiro Nascimento Chousa,Uber,Transporte e Tecnologia,Embaixador,5
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,499,Cleomarcos Taveira Franco Bencatel,Apple,Tecnologia,CFO,5
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,575,Josenara Carrasqueira,Siemens,Tecnologia e Engenharia,CIO,5
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,796,Cecil Severo,LinkedIn,Tecnologia e Networking,CFO,5
1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas,1,Braian Goulart,Fundação Banco do Brasil,Terceiro Setor,COO,1131,Rairison Carvalheira Chousa,Tesla,Tecnologia automotiva,COO,5
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,27,Claudionete Simões Vale Guerreiro,Brookdale Senior Living,Gestão de Residências Seniores,CMO,1
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,287,Magnus Brites Amarante,Environmental Protection Agency,Monitoramento da Qualidade do Ar,CTO,1
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,587,Chiyoko Couto Tavares,Google,Tecnologia,CMO,1
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,862,Juberli Valério Caires Távora,FAO,Agricultura,COO,1
2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas,2,Kerolay Ferreira,Fundação Itaú Social,Terceiro Setor,COO,1046,Ross Vargas Veloso Frazão,IBM,Tecnologia,CIO,1
